Scene,entropy,si,ti,lap_var,lap_var_var,lap_p25,lap_p50,lap_p75,sharpness,thrash_hold
tearsofsteel_4k.mp4_0,6.518482487394958,15.826224654233103,6.959197188259429,28.318284844527675,1804.628903710669,-1.4201680672268908,0.0,1.4369747899159664,1,1
tearsofsteel_4k.mp4_1,7.346735082278481,19.202976211535898,3.4482504920807524,30.542630760402965,1865.831577151319,-1.4177215189873418,0.0,1.4367088607594938,2,1
tearsofsteel_4k.mp4_2,7.382305019125683,15.553702620472894,4.3939233178510895,35.91349880224178,1994.8509992884337,-1.319672131147541,0.0,1.3579234972677596,2,1
tearsofsteel_4k.mp4_3,6.9846153636363635,15.414528807714255,7.73221524645246,24.519081786804033,655.5259214555716,-1.3409090909090908,0.0,1.3409090909090908,1,1
tearsofsteel_4k.mp4_4,6.245755129411765,32.31587994321324,5.074820262977485,39.21941529066991,2038.9348191453869,-1.5058823529411764,0.0,1.5411764705882354,1,1
tearsofsteel_4k.mp4_5,7.09193412,13.071848487510065,13.366286632643742,36.77015394574238,1691.1892520601257,-1.53,0.0,1.55,1,1
tearsofsteel_4k.mp4_6,7.173761875,20.120730507183495,13.92827577816603,55.5675384549768,3039.5844053947326,-1.78125,0.0,1.8125,1,1
tearsofsteel_4k.mp4_7,7.622146032786885,7.752898963095467,6.705409034967247,26.266127985656013,803.0623079400675,-1.2950819672131149,0.0,1.2950819672131149,1,1
tearsofsteel_4k.mp4_8,7.5344607083333335,11.18770672202015,4.9137098980497695,31.9911729431365,1848.067962068931,-1.5555555555555556,0.0,1.5694444444444444,2,1
tearsofsteel_4k.mp4_9,7.476936139037433,6.812400642996037,4.022406930471003,28.177556444133256,1624.8590255486156,-1.53475935828877,0.0,1.5401069518716577,2,2
disney_1280x720.mp4_0,5.560702046570973,22.38118807026434,4.3844098074056,124.28391031864864,24957.330937252173,-0.621371610845295,0.0,0.75311004784689,1,1
disney_1280x720.mp4_1,6.687096682539683,29.65627610782736,7.709101539101139,134.97775874371064,26818.555932503583,-0.680952380952381,0.0,0.8111111111111111,1,0
disney_1280x720.mp4_2,6.198115521072797,31.217418830712525,8.460831752679525,138.2044954090742,30757.164000049146,-0.6743295019157088,0.0,0.8160919540229885,1,0
disney_1280x720.mp4_3,6.646059766666666,23.57843797502501,17.619956311885524,157.5441155745898,39795.461779820034,-0.7,0.0,0.8666666666666667,1,1
disney_1280x720.mp4_4,1.52745816,4.808351098386136,3.6974806379131397,109.23332443955985,25678.62887890022,-0.56,0.0,0.76,1,1
disney_1280x720.mp4_5,6.7133125,21.326254026869545,9.55681406802697,199.3830618326645,62299.355763637504,-0.9705882352941176,0.0,1.2058823529411764,1,1
disney_1280x720.mp4_6,6.818373574525745,18.471582714281602,3.4704300775604495,106.7757280312048,16740.602819553922,-0.5745257452574526,0.0,0.6504065040650406,1,1
disney_1280x720.mp4_7,7.7121761772151896,43.51400693778844,4.360442859949388,105.34411158340659,11239.510026557442,-0.5886075949367089,0.0,0.6392405063291139,1,1
disney_1280x720.mp4_8,7.0322814725274725,27.80504871866658,6.755352855391312,129.99726429976866,24852.631844730644,-0.6172161172161172,0.0,0.7545787545787546,1,1
disney_1280x720.mp4_9,7.274211513409962,27.667380426038957,11.094350877258938,141.955000703018,35608.25549016243,-0.7509578544061303,0.0,0.8735632183908046,1,0
disney_1280x720.mp4_10,7.417673733333333,27.063005749015815,5.646874803030577,114.19014032849438,16943.81726666567,-0.56,0.0,0.72,1,1
disney_1280x720.mp4_11,7.130651652719665,23.898498266893586,9.106018331668427,116.34031505397184,18670.9528316603,-0.5732217573221757,0.0,0.7112970711297071,0,0
disney_1280x720.mp4_12,6.7928292,30.183681702509062,24.805509952066977,80.15928740776346,4097.745340365963,-0.6,0.0,0.8,0,0
disney_1280x720.mp4_13,7.975680528089888,33.696646841883506,22.397039888935456,138.7996927245853,25705.55390885052,-0.7191011235955056,0.0,0.898876404494382,0,1
disney_1280x720.mp4_14,7.8080025625,33.84521434891401,20.125934381295394,117.52601420164288,21804.43586154673,-0.375,0.0,0.4375,0,1
disney_1280x720.mp4_15,7.9842392,37.34350433623383,19.57099540844023,208.7411054125105,62982.112673243035,-0.7666666666666667,0.0,1.0,1,0
disney_1280x720.mp4_16,7.950023357142857,32.53328377744393,19.1250695955468,125.79163574148345,26009.348064271424,-0.7380952380952381,0.0,0.8095238095238095,1,0
disney_1280x720.mp4_17,7.947379098765432,33.558453387420016,20.74637970879036,146.6453232183135,34906.034800308014,-0.6172839506172839,0.0,0.7901234567901234,-1,2
disney_1280x720.mp4_18,7.99895973553719,36.189586506564616,22.638003144354855,156.87980746070733,40320.04291640023,-0.6528925619834711,0.0,0.9008264462809917,0,0
disney_1280x720.mp4_19,7.87860715625,31.0071201339653,21.624585315439937,123.65202199071213,12747.088328971888,-0.703125,0.0,0.828125,0,1
disney_1280x720.mp4_20,7.513213375661375,34.02792306867585,20.809809885015465,115.94941336682706,19493.478669624023,-0.6084656084656085,0.0,0.6931216931216931,0,0
disney_1280x720.mp4_21,7.280309111111111,28.686219400525186,21.67511519188644,105.98301070898583,15193.511781039037,-0.6349206349206349,0.0,0.7301587301587301,1,0
disney_1280x720.mp4_22,7.2142712580645165,17.452237961304558,4.974415014299119,93.8882112028636,7722.936312162222,-0.7419354838709677,0.0,0.7419354838709677,1,1
disney_1280x720.mp4_23,7.102270421052632,19.753934819419367,12.015984330762834,64.69605621257291,4384.7655661485305,-0.2631578947368421,0.0,0.42105263157894735,1,1
disney_1280x720.mp4_24,7.019360733333333,18.48131443288722,9.578237509007506,102.34098622074133,10665.120462180585,-0.3333333333333333,0.0,0.3333333333333333,1,1
disney_1280x720.mp4_25,7.473459986111111,24.58194560006541,10.910308443727367,90.29478742514074,8165.581915404026,-0.5138888888888888,0.0,0.5763888888888888,1,1
disney_1280x720.mp4_26,6.793927840909091,16.341656154128305,7.330632067649632,98.70942450373576,12242.05881872999,-0.6363636363636364,0.0,0.7272727272727273,1,1
disney_1280x720.mp4_27,6.896017062937063,17.459965256609298,10.927679442321846,109.01965572933322,18176.25146603303,-0.5244755244755245,0.0,0.6153846153846154,1,1
disney_1280x720.mp4_28,7.392959657258064,24.54076936493631,12.818849333366995,141.96842343550367,30794.573384964195,-0.6895161290322581,0.0,0.8991935483870968,1,1
disney_1280x720.mp4_29,7.642642470588235,30.30168136079965,12.819649089698414,144.95050179204432,17000.443503146846,-0.6176470588235294,0.0,0.6176470588235294,1,0
disney_1280x720.mp4_30,7.238898911764706,34.263305210552936,7.618391590475897,161.31824962182387,31882.415062385626,-0.6617647058823529,0.0,0.8088235294117647,1,1
disney_1280x720.mp4_31,1.053673,26.870592108068827,0.5152456838235288,134.3803971308908,0.0,-1.0,0.0,2.0,-1,2
disney_1280x720.mp4_32,5.822984268817204,18.248887935466424,8.034034310495718,124.99696356172979,30601.787325549605,-0.6344086021505376,0.0,0.7204301075268817,0,0
disney_1280x720.mp4_33,4.936812117647059,12.483905939766574,12.85109847672395,140.18447575479203,22274.63283924646,-0.8235294117647058,0.0,0.9411764705882353,1,0
disney_1280x720.mp4_34,6.0155122,16.762694932736476,13.168097151030612,165.8516469801004,54122.717381316295,-0.68,0.0,1.0,1,1
disney_1280x720.mp4_35,6.121363582278481,16.484638244088067,11.60066192739566,136.3527885940798,26027.85513111119,-0.7468354430379747,0.0,0.8860759493670886,1,1
disney_1280x720.mp4_36,7.050854314789688,21.365111523804433,7.082344849450292,134.3815583312548,28315.9947973529,-0.6797829036635007,0.0,0.8132066938037087,1,0
disney_1280x720.mp4_37,7.029137726694915,17.82869302787761,6.242812884431535,120.86450842545011,23553.081502728022,-0.6228813559322034,0.0,0.7690677966101694,1,1
disney_1280x720.mp4_38,7.425173634920635,30.767188434074242,16.14445093929284,136.76167811478697,20120.53008782228,-0.7142857142857143,0.0,0.8412698412698413,0,0
disney_1280x720.mp4_39,7.686763270096463,33.68226239940381,13.365454230159168,154.7273046288014,34712.661964264495,-0.6334405144694534,0.0,0.7909967845659164,0,0
disney_1280x720.mp4_40,7.468029,32.46276516104909,11.090199525138516,178.1435668206565,57622.407554705314,-0.9117647058823529,0.0,1.2058823529411764,1,1
disney_1280x720.mp4_41,7.690182702970297,32.236820999023024,17.307385150402688,98.27652666373038,14428.898529753713,-0.5148514851485149,0.0,0.6336633663366337,0,0
disney_1280x720.mp4_42,7.68474240860215,30.311140948183034,15.396421608754013,99.9982715229475,15670.026195324353,-0.6559139784946236,0.0,0.7741935483870968,0,0
disney_1280x720.mp4_43,7.674671225165563,27.29768409405568,13.48491754677997,102.05653882226476,11136.67264018231,-0.7086092715231788,0.0,0.7947019867549668,0,0
disney_1280x720.mp4_44,7.5582371037735845,22.829766829151037,8.348025348723992,115.06920940456492,20519.970460642005,-0.7264150943396226,0.0,0.8301886792452831,1,0
disney_1280x720.mp4_45,7.71801087012987,28.840933422746232,14.1037253930047,83.49641615757422,12429.99835738791,-0.4935064935064935,0.0,0.5844155844155844,0,0
disney_1280x720.mp4_46,7.852996304878049,35.84795061536464,9.260008231348023,156.82790647907066,43359.49178893879,-0.6951219512195121,0.0,0.9085365853658537,-1,2
disney_1280x720.mp4_47,7.824548658064516,37.07049465342938,10.30560905127371,157.6569412556554,33027.89595627259,-0.6838709677419355,0.0,0.7935483870967742,1,0
disney_1280x720.mp4_48,7.528377766666667,29.270712360305897,8.158124888826611,129.39884175518628,20572.657289895706,-0.6666666666666666,0.0,0.8,-1,2
disney_1280x720.mp4_49,7.413485795275591,31.07066751621709,12.902572378121892,118.40503553970464,22188.47879695875,-0.6338582677165354,0.0,0.7244094488188977,1,0
disney_1280x720.mp4_50,7.360546009708738,35.19635483153716,12.934803939991268,140.72480311913606,41985.19194505759,-0.6699029126213593,0.0,0.8252427184466019,1,1
disney_1280x720.mp4_51,7.207838613793103,25.223171921201857,9.845570641397357,110.7370060051539,22709.624445926085,-0.6482758620689655,0.0,0.7655172413793103,-1,2
disney_1280x720.mp4_52,7.45544088547486,27.24568969995895,10.022547322817333,142.1412719209319,31093.107630868282,-0.6564245810055865,0.0,0.770949720670391,0,1
disney_1280x720.mp4_53,7.694236888888889,31.934848917717957,10.31083406858789,145.8166492830032,63073.7322714454,-0.5,0.0,0.6111111111111112,0,0
disney_1280x720.mp4_54,7.565527814814815,31.20936947584871,9.48592153793328,123.60514158169116,24221.220297642616,-0.5555555555555556,0.0,0.7037037037037037,0,0
disney_1280x720.mp4_55,7.353586525641026,33.2181246130879,8.483051291332034,153.77764621653571,33399.29764558111,-0.7307692307692307,0.0,0.8717948717948718,0,0
disney_1280x720.mp4_56,6.935105318975553,26.741280450562293,5.357013394988159,120.44066671928051,23384.514566894537,-0.6612339930151339,0.0,0.7927823050058207,1,1
disney_1280x720.mp4_57,7.66262376635514,34.47312527801228,11.67639854728292,139.27946980882885,23661.28898981711,-0.6495327102803738,0.0,0.794392523364486,0,0
disney_1280x720.mp4_58,7.850789795527157,32.33840407013236,12.698974226533158,121.69486919390798,29233.819188369194,-0.6325878594249201,0.0,0.7539936102236422,-1,2
disney_1280x720.mp4_59,7.753965625,31.4891194539776,12.34954148850493,119.89928429498055,33638.35010032362,-0.55,0.0,0.675,-1,2
disney_1280x720.mp4_60,7.688893950980392,33.128239424493245,9.718027653724551,125.0863397770495,21624.222208039286,-0.7034313725490197,0.0,0.8382352941176471,0,0
disney_1280x720.mp4_61,6.9747047759472816,18.38921567200788,3.8678439714421518,133.441648400853,29191.36454942955,-0.657331136738056,0.0,0.8023064250411862,1,1
disney_1280x720.mp4_62,7.692402452380953,25.14254540253486,2.5514054942229625,118.07687996205158,15184.920538201563,-0.753968253968254,0.0,0.9206349206349206,1,1
disney_1280x720.mp4_63,7.064678826086957,19.62149392032768,2.2480949062791202,101.12685890505209,16791.247766146615,-0.5,0.0,0.5760869565217391,1,0
disney_1280x720.mp4_64,7.674982496478873,30.57193930633306,3.4520436069307117,140.76205608294333,41018.55945676977,-0.6936619718309859,0.0,0.8626760563380281,1,0
disney_1280x720.mp4_65,6.0645278388059705,13.932764830489244,2.8106604730305955,131.4655554670843,25617.64241922009,-0.673134328358209,0.0,0.7985074626865671,1,1
disney_1280x720.mp4_66,7.246249694444445,28.420208723575012,11.548851965768582,114.50021923921437,15406.301904315527,-0.5833333333333334,0.0,0.6666666666666666,1,1
disney_1280x720.mp4_67,7.340762340425532,27.68101358641327,10.256879439096616,112.86897382614366,26783.564709368708,-0.6170212765957447,0.0,0.7659574468085106,1,1
disney_1280x720.mp4_68,7.874222263157895,33.61468258502909,14.059107657085129,107.97085859560087,21776.216063565054,-0.5614035087719298,0.0,0.7017543859649122,1,0
disney_1280x720.mp4_69,6.599142997916666,17.992791399702188,7.894250907056677,145.00036531284027,28563.33138554449,-0.7083333333333334,0.0,0.8375,1,1
disney_1280x720.mp4_70,1.758269,34.11911296574286,0.04264992935861076,10.74098090209962,0.0,0.0,0.0,0.0,-1,2
disney_1280x720.mp4_71,6.485951857142857,20.36701068372091,24.070994562622328,91.56535513709287,3666.753912880466,-0.5714285714285714,0.0,0.7142857142857143,1,1
disney_1280x720.mp4_72,7.700402,23.865216289545028,10.422741656877164,141.71867318479207,23438.56585796733,-0.4166666666666667,0.0,0.4166666666666667,1,1
disney_1280x720.mp4_73,7.36229004,22.365040002408303,16.34850711506123,176.40158035903943,24222.624611784817,-0.72,0.0,0.96,1,1
disney_1280x720.mp4_74,7.414036,20.727627867712105,10.184641415337769,155.87854721916565,0.0,-1.0,0.0,1.0,-1,2
disney_1280x720.mp4_75,7.093343066666667,17.659274727541412,10.206574294004538,208.33462801410607,82215.73255473842,-0.8666666666666667,0.0,1.1666666666666667,1,1
disney_1280x720.mp4_76,6.729173485714286,14.804174019661765,3.6435442126177886,97.22942883017687,11257.142418069889,-0.5934065934065934,0.0,0.6637362637362637,1,1
disney_1280x720.mp4_77,6.5178094,11.96836988985502,4.998284562885936,137.571974386251,39616.849379704945,-0.7183673469387755,0.0,0.8448979591836735,2,1
disney_1280x720.mp4_78,7.141177416666666,29.026332119912023,3.351787112537895,138.73836793121163,20622.115788584975,-0.9166666666666666,0.0,1.0833333333333333,0,0
disney_1280x720.mp4_79,6.2626203484358145,10.978749539750641,4.555628616944244,130.54533690005934,27096.74259464261,-0.645091693635383,0.0,0.7734627831715211,2,1
disney_1280x720.mp4_80,6.772068,30.701690861097617,8.768829573960474,13.778049029837703,0.0,0.0,0.0,0.0,1,1
disney_1280x720.mp4_81,6.828169076923077,19.2524564447292,7.793314780162195,113.1625480543728,16924.516502176295,-0.5769230769230769,0.0,0.8076923076923077,1,0
disney_1280x720.mp4_82,6.765823643192488,14.620797654614845,4.941230220624433,157.13322787920336,29773.72841582629,-0.7464788732394366,0.0,0.8685446009389671,2,1
disney_1280x720.mp4_83,7.142696059701493,15.949204666536788,3.8795353536592305,121.8011895839298,29441.116873674986,-0.5074626865671642,0.0,0.6567164179104478,2,1
