Scene,entropy,si,ti,lap_var,lap_var_var,lap_p25,lap_p50,lap_p75,sharpness,thrash_hold
AoT1920x1080.mov_0,7.1010145,36.29809190096845,1.2540221030084504,215.41766752734648,74833.4861656639,-1.7583333333333333,0.0,1.6083333333333334,1,0
AoT1920x1080.mov_1,6.498854888888889,35.313897396157756,2.693066011484707,236.187134141633,129655.17845396262,-2.1018518518518516,0.0,1.8796296296296295,2,1
AoT1920x1080.mov_2,7.331787094117647,33.70126693845379,9.114663372769565,316.15104001072103,169287.2885820365,-1.964705882352941,0.0,1.776470588235294,0,1
AoT1920x1080.mov_3,7.238900307692307,27.55920531810936,1.8025133336846246,189.98253526744773,114926.5808523947,-1.6495726495726495,0.0,1.5299145299145298,2,0
AoT1920x1080.mov_4,7.444517152777777,29.688778115947066,2.0867470445129506,268.80348883312246,118713.59491513789,-1.9166666666666667,0.0,1.7361111111111112,2,0
AoT1920x1080.mov_5,7.055525525252525,39.04313830118088,3.8053339869466773,220.27175596345654,86265.5604247997,-1.8131313131313131,0.0,1.696969696969697,2,1
AoT1920x1080.mov_6,7.205033104166667,35.56489647630501,2.1921159304249604,285.9662705870575,78568.05998176028,-1.7395833333333333,0.0,1.53125,3,2
AoT1920x1080.mov_7,6.783158135416667,13.658198139399737,3.3159143212225928,287.7979380126769,84838.39977879253,-1.78125,0.0,1.5729166666666667,2,-1
AoT1920x1080.mov_8,7.097416829145729,28.55673999288343,5.567425508813477,221.19917934958488,84628.34273064445,-1.7939698492462313,0.0,1.693467336683417,0,0
AoT1920x1080.mov_9,7.231462830188679,34.45909925164368,7.97932306293036,257.4864609555083,125952.63040979924,-1.9433962264150944,0.0,1.7547169811320755,0,0
AoT1920x1080.mov_10,7.465526111111111,40.65858643140065,1.6747360034675092,249.087799768586,119237.54839410639,-1.7222222222222223,0.0,1.5694444444444444,2,1
AoT1920x1080.mov_11,7.317984593959731,40.36494572243615,1.3586056614655677,236.641219702579,131394.45794900513,-1.9328859060402686,0.0,1.7483221476510067,2,3
AoT1920x1080.mov_12,7.2609942045454545,35.88356690395062,1.7377647470381903,239.7455805429071,91107.55994743212,-1.6742424242424243,0.0,1.553030303030303,2,1
AoT1920x1080.mov_13,7.239623964285714,28.437124989945193,7.385716143452416,210.7191480856918,40513.53225817306,-1.6547619047619047,0.0,1.4404761904761905,2,1
AoT1920x1080.mov_14,7.124175196078431,32.09786552891635,2.862101912667449,156.61237655408775,30706.87717102443,-1.6862745098039216,0.0,1.6176470588235294,2,2
AoT1920x1080.mov_15,7.146193241379311,38.85980586869849,1.768362919049412,154.88150380116724,26510.625663154882,-1.7758620689655173,0.0,1.6896551724137931,2,1
AoT1920x1080.mov_16,7.181962194444444,42.56768192552574,3.6656216979911003,179.0613798526477,46295.169224864825,-1.7222222222222223,0.0,1.5972222222222223,1,1
AoT1920x1080.mov_17,7.370797654761905,31.357489046765924,2.0319082108161775,237.59142979586383,68885.91229669785,-1.7857142857142858,0.0,1.6071428571428572,0,0
AoT1920x1080.mov_18,5.542445875,24.60823936671199,1.7997409344629653,259.03830272260785,118144.84863920479,-1.6583333333333334,0.0,1.5583333333333333,0,0
AoT1920x1080.mov_19,7.290492605504587,35.680869288959805,14.355934257763275,189.0272361249998,80882.7531809909,-1.908256880733945,0.0,1.7155963302752293,-1,1
AoT1920x1080.mov_20,6.790906375,40.434259832329985,12.192582906821732,264.75374960902235,143840.47804007385,-2.0208333333333335,0.0,1.8333333333333333,3,0
AoT1920x1080.mov_21,7.1714488125,41.41306453746337,6.578841659298855,380.586793798546,190214.8445122737,-2.1666666666666665,0.0,1.9791666666666667,1,0
AoT1920x1080.mov_22,7.436049,14.733252176928353,19.854789226059147,36.870280644726805,0.0,-1.0,0.0,1.0,0,-1
AoT1920x1080.mov_23,7.328977617021277,24.43761931683191,3.2829520413419604,257.5961714568938,169963.327975288,-2.0851063829787235,0.0,1.9148936170212767,3,0
AoT1920x1080.mov_24,7.5083601875,43.81691557774072,1.8823530376613578,236.3556103884472,165578.24052730828,-2.0416666666666665,0.0,1.875,1,0
AoT1920x1080.mov_25,7.3199314583333335,38.638177188379025,5.305294696143346,111.09593585281179,11890.012090282593,-1.5416666666666667,0.0,1.4166666666666667,0,1
AoT1920x1080.mov_26,7.450802782051282,49.03090321941186,1.9561841311349524,271.76066897483116,126196.20048015381,-1.7820512820512822,0.0,1.641025641025641,1,1
